region/code;city/code;city/jp;city/en;noCode;code;name;eng;latitude;longitude;arv
510;2620100;福知山市;Fukuchiyama-shi;5100000;2620100;福知山市内記;Fukuchiyama-shi Naiki;35.2961;135.1261;1.446
510;2620100;福知山市;Fukuchiyama-shi;5100020;2620120;福知山市長田野町;Fukuchiyama-shi Osadano-chō;35.2758;135.1825;0.917
510;2620100;福知山市;Fukuchiyama-shi;5100030;2620130;福知山市三和町千束;Fukuchiyama-shi Miwa-chō Senzoku;35.2175;135.2331;0.873
510;2620100;福知山市;Fukuchiyama-shi;5100031;2620131;福知山市夜久野町額田;Fukuchiyama-shi Yakuno-chō Nukata;35.3175;135.0036;1.085
510;2620100;福知山市;Fukuchiyama-shi;5100032;2620132;福知山市大江町河守;Fukuchiyama-shi Ōe-chō Kōmori;35.3894;135.1475;1.411
510;2620200;舞鶴市;Maizuru-shi;5100100;2620200;舞鶴市下福井;Maizuru-shi Shimo-fukui;35.4503;135.3175;1.476
510;2620200;舞鶴市;Maizuru-shi;5100120;2620220;舞鶴市浜;Maizuru-shi Hama;35.4758;135.3889;1.749
510;2620200;舞鶴市;Maizuru-shi;5100131;2620231;舞鶴市北吸;Maizuru-shi Kitasui;35.4747;135.3858;1.061
510;2620300;綾部市;Ayabe-shi;5100231;2620331;綾部市若竹町;Ayabe-shi Wakatake-chō;35.2986;135.2589;1.092
510;2620500;宮津市;Miyazu-shi;5100330;2620530;宮津市柳縄手;Miyazu-shi Yanaginawate;35.5356;135.1958;1.476
510;2646300;伊根町;Ine-chō;5101120;2646320;伊根町亀島;Ine-chō Kameshima;35.6767;135.2917;0.669
510;2646300;伊根町;Ine-chō;5101131;2646331;伊根町日出;Ine-chō Hide;35.6753;135.2722;0.917
510;2621200;京丹後市;Kyōtango-shi;5101900;2621200;京丹後市弥栄町吉沢;Kyōtango-shi Yasaka-chō Yoshisawa;35.6317;135.1011;0.669
